검사분류코드,검사분류명,검사항목코드,검사항목명,참고치,단위,기본검체,검체용기 이미지,검체용기,주의사항,시행일,접수마감시간,보고소요시간,검사방법,검사의의,비고,동의어,오더가능여부,시행여부
L37,특수화학검사,L3785,Pre-Excision iPTH (수술장용),15~65,pg/mL,1PRE,이미지,EDTA6mL_ipth,예약검사 (휴일시행안함) 검사가능시간: 9시30분-16시30분,월~금,예약검사 (휴일시행안함) 검사가능시간: 9시30분-16시30분,1,,"부갑상선 호르몬은 혈액또는 체액의 칼슘이온농도 조절하고 칼시토닌이 여기에 길항작용을 한다. 신장에서 는 근위세포관의 인의 재흡수억제 및 칼슘 증가, ,비타민 D의 활성촉진작용, 장관에서는 칼슘흡수촉진에 관 여 한다. * 의의: 원발성,속발성 부갑상선 기능항진증,고칼슘 혈증의 진단, 수술 중 부갑상선 절제의 효과 판정",,,아니오,시행중
L37,특수화학검사,L3784,Pre-Incision iPTH(수술장용),15~65,pg/mL,1PRI,이미지,EDTA6mL_ipth,예약검사 (휴일시행안함) 검사가능시간: 9시30분-16시30분,월~금,예약검사 (휴일시행안함) 검사가능시간: 9시30분-16시30분,1,"부갑상선 호르몬은 혈액또는 체액의 칼슘이온농도 조절하고 칼시토닌이 여기에 길항작용을 한다. 신장에서 는 근위세포관의 인의 재흡수억제 및 칼슘 증가, ,비타민 D의 활성촉진작용, 장관에서는 칼슘흡수촉진에 관 여 한다. * 의의: 원발성,속발성 부갑상선 기능항진증,고칼슘 혈증의 진단, 수술 중 부갑상선 절제의 효과 판정",,,,아니오,시행중
L71,외주검사,L7343,Primidone (serum level)(외주),5.0 - 12.0,ug/ml,Serum: 1.0,이미지,SST,냉동,"월,목",오후 3:30,17일,EIA,"반감기는 소아 4-6시간, 성인 4-12시간으로 투여 후, 4-7일 후에 항정 상태(steady state)에 도달함. Trough level 은 다음 투여 직전에 채혈하며, peak level 은 경구 투여 후 4-8 시간 사이에 채혈. 이 약물의 주요 대사 산물로 phenobarbital 과 PEMA (phenylethylmalonamide)가 생성되므로 phenobarbital 농도도 같이 측정을 요한다.",녹십자의뢰 외주검사(☏.578-0131),"mysoline, primacolone",예,시행중
L37,특수화학검사,L3770,pro Brain natriuretic peptide(proBNP),남: 50세 미만: 0 - 84 / 50세 이상:0 - 194,50세 미만: 0 - 155 / 50세 이상: 0 - 222,pg/mL,SST blood,이미지,SST blood 5mL,,(본원) 매일,(본원) 24시간 검사 가능,(본원) 접수 후 2시간 이내,ECLIA,"나이가 들수록 아테롬성 동맥 경화증과 심장의 노후 과정(예를 들어 섬유증)은 심장기능 이상증을 초래한다. 초기 단계에 심장기능 이상증은 개인적으로 다르게 발현되고 임상적으로도 무증후성으로 발생된다. NT-proBNP 수치는 심장 기능 또는 심장기능 이상을 반영한다. NT-proBNP 수치를 해석할 때에는 성별을 고려해야 하며 치료에 따른 영향을 고려해야 한다. 그러므로 NT-proBNP 수치는 환자의 의학적 history와 임상적 발견 사항 및 다른 정보(예를 들어, imaging, laboratort findings)와 함께 해석하는 것이 바람직하다. Clinical cutoff 125 pg/mL 이하의 NT-proBNP 수치는 정상으로 간주된다. 건강한 남성과 여성에서 NT-proBNP 수치가 다르게 측정되었음에도 불구하고, 임상적 cutoff인 125 pg/mL 은 진단에 있어서 정확성을 보인다. 확실하게 심장기능 이상증을 보이는 환자에게서는 125 pg/mL 이하의 NT-proBNP 수치가 나타나지 않는다. 또한 호흡곤란을 보이는 무증상의 환자에게서도 마찬가지이다. 125 pg/mL 이상의 NT-proBNP 수치는 초기 심장기능 이상증을 의미하기도 하고, 높은 수준의 심장 합병증(심근경색, 심장부전, 사망)과 연관되어 있다. 성별 특이적 cut point를 결정할 경우에 남성에게 100 pg/mL 과 여성에게 150 pg/mL 의 수치는 rule out testing 에 사용될 수 있다.","[측정 범위] 5 - 35,000 pg/mL 측정 범위 이하의 결과 값들은 < 0.600 pg/mL로 표시된다. 측정 범위 이상의 결과 값들은 >35,000 pg/mL로 표시된다. [기능적 민감도] < 50 pg/mL",,예
L52,"호르몬,종양표지자검사",L5233,Pro GRP (진검시행),Serum : <=63.0 ng/ml Plasma : <=65.0 pg/ml,pg/ml,EDTA blood 2 mL,이미지,,,매일,,당일,CMIA(Chemiluminescent Microparticle Immuno Assay),"ㆍ검사개요: Gastrin-releasing-peptide (GRP)는 장호르몬으로서, 위장관과 신경계, 호흡기계에 널리 분포하고 있다. GRP는 세포간 상호작용에 관여하는 것으로 알려져 있는데, 소세포폐암 (Small cell lung cancer, SCLC) 세포에서 생성되는 것이 발견되었다. 그런데, GRP는 반감기가 2분 정도로 매우 짧아 측정하기 어려우므로, 그 대신반감기가 더 긴 전구물질인 proGRP가 유용한 종양표지자로 알려지게 되었다. ProGRP는 다른 소세포폐암 종양표지자인, CEA, CYFRA 21-1, NSE 등보다 민감도와 특이도가 더 좋은 것으로 평가되고 있다 (소세포암 재발시 proGRP, NSE, CEA 민감도 각각 74%, 32%, 56%). ProGRP 종양표지자는 소세포폐암에서 높은 민감도 및 특이도를 보여, 소세포암 진단 및 치료경과 추적에 매우 유용한 것으로 인정받고 있다",[2011.3.25]종양진검 검사시행,Gastrin-releasing peptide,아니오,시행중
L71,외주검사,L74381,Pro GRP(외주),남 년도별 연령 : 0~999 참고치 : 0~65 여 년도별 연령 : 0~999 참고치 : 0~65,pg/mL,EDTA 6 mL,이미지,19. EDTA 6.0,plasma분리 후 냉동,"월, 수",검사 시행일 전날 오전 11시,3일,CMIA,가스트린 방출 펩티드 전구체(ProGRP)는 폐 소세포암에서 높은 양성율로 특이성을 보이는 종양표지자,[2016.04.01] 검사의뢰시작. - 서울의과학연구소 의뢰 외주검사 - 수가코드:L74381,,아니오,시행중
L30,일반화학(1),L3087,"Procalcitonin, quantitation (PCT)",0 - 0.5,ng/mL,SST blood,이미지,SST blood 5mL,,(본원) 매일,(본원) 24시간 검사 가능,(본원) 접수 후 2시간 이내,"전기화학적발광면역분석법 (Electrochemiluminescence immunoasay, ECLIA)","Procalcitonin(PCT)은 calcitonin 의 prohormone 으로서 세균감염시 유발된 proinflammatory stimulation 에 의해 여러 장기와 세포에서 분비됨. 즉,","Sepsis 의 조기진단에 유용함. 참고로 sepsis 시에 여러 cytokine(IL-6, TNF-a 등)이나 lactic acid, CRP 보다 훨씬 빠르게 6시간 정도면 충분히 검출 가능한 농도로 증가하여 24~48시간이면 대사됨. 따라서,",PCT 의 모니터링으로 Sepsis 의 folow-up 을 하면 사용하고 있는 항생제의 치료효과를 알 수 있어서 바로 항균제를 바꾸거나 양을 조절할 수 있음.,궁극적으로 Antibiotics 의 사용량과 사용기간 단축 효과를 기대할 수 있고 의료비의 효율적인 사용이 가능함.,시행처: 자동화검사실
L52,"호르몬,종양표지자검사",L5217,Progesterone,M: 0.2 - 1.4 F: 0.1 - 27,ng/ml,SST blood,이미지,SST blood 5mL,,(본원) 월-토,(본원) 월-금 : 16시까지 접수,토요일 : 11시까지 접수,(본원) 접수마감시간 이내 검체 : 당일 2시간 이내,접수마감시간 이후 검체 : 익일 결과 보고,ECLIA (electrochemiluminescence immunoassay),Progesterone은 정상 월경 여성 난소의 황체에서 최초로 생성되고 부신피질에서 소량 생성된다.,6주쯤 되면 태반이 progesterone의 주요생성 장소가 되며 임신의 유지 및 자궁 내 착상을 준비하는 것이 progesterone의 주요 기능이다. 불임환자는 황체 중기의 progesterone이 비정상적으로 낮게 나타난다.,외 임신이나 유산의 위험이 있는 환자의 신뢰할만한 진단은 임신 10주에 Progesterone을 검사하는 것이 좋다.
L52,"호르몬,종양표지자검사",L5238,Prolactin,,,SST blood,이미지,SST blood 5mL,,(본원) 월-토,(본원) 월-금 : 16시까지 접수,토요일 : 11시까지 접수,(본원) 접수마감시간 이내 검체 : 당일 2시간 이내,접수마감시간 이후 검체 : 익일 결과 보고,,,시행처: 특수화학검사실,
L71,외주검사,L749103,Prostate Health Index (PHI),결과지참조,index,Serum 4 ml,이미지,14. Serum-4.0,1. 2-8 ℃ 냉장 : 1일 2. -20 ℃ 냉동 : 5개월 (*5개월 이상 -70 ℃ 안정),"월, 수, 금",마감시간: 검사 시행일 전날 오전 11시,7일,CLIA (Chemiluminescence Immunoassay),전립선암 진단에 대한 예측 정확성이 유의하여 불필요한 조직검사를 감소시킬 수 있음,[phi = (P2PSA/freePSA)*√PSA],,예,시행중
L37,특수화학검사,L3771,Prostate Specific Antigen(PSA),0 - 3,ng/mL,SST blood,이미지,SST blood 5mL,채취된 검체는 가능한 한 즉시 검사실로 보낸다.,(본원) 월-토,월-금,"(본원,암병원) 월-금 : 16시까지 접수",토요일 : 11시까지 접수,"(본원,암병원) 접수마감시간 이내 검체 : 당일 2시간 이내",접수마감시간 이후 검체 : 익일 결과 보고,ECLIA (electrochemiluminescence immunoassay),"전립선 특이항원은 Wang 등에 의해 양성비대증의 전립선 조직에서 분리 정제된 분자량 약 33만의 당단백으로서 전립선의 선-도관 내강상피세포에만 특이적으로 존재하고, 전립선암 환자에서 심하게 증가하며 병세를 잘 반영하므로 진단, 예후 판정및 경과 관찰의 지표로써 유용하다.",백인종 남성에 제일 흔한 암이며 나이가 많을수록 발생 빈도가 높지만 암세포가 전립선에 국한된 조기 발견은 치료가 가능하므로 조기 진단이 다른 암보다 더욱 강조된다.
L31,일반화학(2),L3109,Protein (24hrs Urine),1-114,mg/d,24hr Urine,이미지,Medical Tube Urine 10mL,24시간 Volume을 적어주세요.,(본원) 월-토,매일,월-금,(본원) 월-금 : 16시까지 접수 / 토요일 : 11시까지 접수,24시간 검사 가능,월-금 : 17시까지 접수,"(본원, 암병원) 접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고",접수 후 2시간 이내,Pyrogal red
L30,일반화학(1),L3088,Protein (Body Fluid Except CSF),,g/dL,SST Body Fluid,이미지,SST Body Fluid 5mL,,(본원) 매일,매일,(본원) 24시간 검사 가능,24시간 검사 가능,(본원) 접수 후 2시간 이내,접수 후 2시간 이내,"Protein,total 검사방법 참조",,"시행처: 본원자동화검사실, 소아진단검사의학과"
L31,일반화학(2),L31090,Protein (random urine),,mg/dL,Random Urine,이미지,Medical Tube Urine 10mL,,(본원) 월-토,매일,월-금,(본원) 월-금 : 16시까지 접수 / 토요일 : 11시까지 접수,24시간 검사 가능,월-금 : 17시까지 접수,"(본원, 암병원) 접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고",접수 후 2시간 이내,Pyrogal red
L71,외주검사,L7472,Protein C Ag(Immunological)(외주),남 년도별 연령 : 0~999 참고치 : 72~160 여 년도별 연령 : 0~999 참고치 : 72~160,%,Citrate BLD 2.7 ml,이미지,16. Citrate 2.7mL,냉동,"월, 목",검사 시행일 전날 오전 11시,3일,EIA,선천성 Protein C 결손증 진단지표,서울 의과학 연구소(SCL)로 의뢰함 (☏.790-6500) [2009년 2월 4일시행] [2014.06.23]수탁처 변경 기존 : SCL 변경 : 이원의료재단,,예,시행중
L25,분자유전학,L25223,"Protein C deficiency, PROC sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, sequencing","1. 유전자: PROC [protein C (inactivator of coagulation factors Va and VIIIa); 2q13-14; Gene ID 5624] 2. 분자진단검사: 상기 유전자의 exons 1-8 의 5'UTR, coding region과 그 flanking region 의 염기서열을 검사함. 3. 관련 질환: Protein C deficiency, thrombophilia 4. 배경, 의의: Protein C 결핍 시 Va 응고인자와 VIIIa 응고인자의 억제 이상 및 섬유소 용해의 장애를 초래하여 혈전증을 유발함. 선천성 Protein C 결핍증은 상염색체 우성으로 유전하며 원인 유전자는 PROC 임, 본 검사로 PROC 의 원인 돌연변이를 진단함.",,Protein C,예,시행중
L71,외주검사,L7363,Protein E.P (CSF)(외주),Prealbumin 2-7 Albumin 56-76 Alpha1 2-7 Alpha2 4-12 Beta 8-18 Gamma 3-12,%,CSF: 2.0,이미지,SST,냉장,"월,수,금",오후 3:30,2일,전기영동법,"CSF 는 중추신경계를 따라 뇌 및 척수를 순환한다. 기계적인 압축, 확장성 병변, 혈관 손상이나 감염으로 인한 혈뇌장벽의 투과성 변화는 CSF내 단백 축적을 초래한다. 혈장 및 CSF 단백의 농도비는 뇌혈장벽의 투과성을 평가하는데 유용하다. CSF의 면역 globulin 을 측정하는 것은 중추신경계 병변을 진단하는데, 뇌혈장벽의 투과성 변화나 CSF 단백의 비정상적 국소 합성에 관한 중요한 정보를 제공한다.",서울 의과학 연구소(SCL)로 의뢰함 (☏.790-6500),PEP,예,시행중
L22,혈액응고,L2250,Protein S,남: 73-150 여: 65-116,%,Citrate blood 2.7 mL 2개,이미지,"vacutainer(Sodium citrate, 현재 2.7 mL 공급)","Heparin 복용, 호르몬 치료 시 interference 나타낼 수 있음. 환자의 Hct 이 55% 이상인 경우: 응고검사실(전화2288)에 연락하여 항응고제농도가 조절된 채혈관을 받아가서 채혈해야 함.",월-금,"월-금(오후4시), 토(오전11시)",2주(본원),"Functional, Clotting assay","Protein S는 활성화된 protein C의 cofactor로 혈장내에 bound form과 free form으로 존재하는데 이중 free form만이 functioanl activity를 나타낸다. Protein S의 혈장치를 해석할 때는 몇가지를 고려해야 한다. 즉, 정상적으로 여자는 남자에 비해 약간 낮으며 임신, 고단위 estrogen 사용, oral contraceptive 사용시에는 혈중치가 떨어진다. 또한 vitamin K 결핍증 또는 oral anticoagulant 사용시에도 떨어진다. Protein S의 선척적 결핍증을 가지고 있는 경우 protein C와 마찬가지고 비교적 젊은 연령에서 자연적 정맥 혈전증의 위험이 높고 흔히 반복적인 혈전증세를 나타낸다.","[2012.12.11] 참고치변경 기존 : 70-140 변경 : 남 73-150 , 여 65-116",Protein S,예,시행중
L71,외주검사,L74905,Protein S Ag (Free)(외주),남 년도별 연령 : 0~999 참고치 : 62~154 여 년도별 연령 : 0~999 참고치 : 50~130,%,Citrate BLD 2.7 ml,이미지,16. Citrate 2.7mL,냉동,수,검사 시행일 전날 오전 11시,3일,,,,,아니오,시행중
L71,외주검사,L7473,Protein S Ag(Immunological)(외주),남 년도별 연령 : 0~999 참고치 : 60~150 여 년도별 연령 : 0~999 참고치 : 60~150,%,Citrate BLD 2.7 ml,이미지,16. Citrate 2.7mL,냉동,"월, 목",검사 시행일 전날 오전 11시,3일,EIA,선천성 Protein S 결손증 진단지표,서울 의과학 연구소(SCL)로 의뢰함 (☏.790-6500) [2009년 2월 4일시행] [2014.06.23]수탁처 변경 기존 : SCL 변경 : 이원의료재단,,예,시행중
L25,분자유전학,L25221,"Protein S deficiency, PROS1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, sequencing","1. 유전자: PROS1 [protein S (alpha); 3p 11.1-3q 11.2; Gene ID 5627] 2. 분자진단검사: 상기 유전자의 exons 1-15 의 5'UTR, coding region 과 그 flanking region 의 염기서열을 검사함. 3. 관련 질환: Protein S deficiency, thrombophilia 4. 배경, 의의: Protein S 는 protein C 의 조효소로 결핍시에는 Va 응고인자와 VIIIa 응고인자의 억제 이상 및 섬유소 용해의 장애를 초래하며 혈전증을 유발함. 선천성 Protein S 결핍증은 상영샘체 우성으로 유전하며, 원인 유전자는 PROS1 임. 본 검사로 PROS1 유전자의 원인 돌연변이를 진단함.",,Protein S,예,시행중
L30,일반화학(1),L3009,"Protein, total",6.0 - 8.0,g/dL,SST blood,이미지,SST blood 5mL,,(본원) 매일,매일,월-금,(본원) 24시간 검사 가능,24시간 검사 가능,월-금 : 17시까지 접수,(본원) 접수 후 2시간 이내,접수 후 2시간 이내,접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고
L25,분자유전학,L2574,"Prothrombin thrombophilia, F2, 20210G>A",Negative,,EDTA blood 6 mL,이미지,,. 가족검사시는 remark에 환자와의 관계표시,월-토,"월-금(오후5시),토(오후12시30분)",3주(추가검사 필요시 4주),"PCR, RFLP/Sequencing",". 관련 병명 : 정맥혈전증, 폐색전증, 뇌혈관 혈전증, 심근혈전증 . 유전자: F2 (coagulation factor II, thrombin; 11p11-q12, (pro)thrombin) . DNA 검사: F2 유전자 3' UTR의 20210 G->A 돌연변이 유무를 검사함 . 배경, 의의: 정맥 혈전증은 여러 유전자의 이상에 의하여 그 발생 위험도가 매우 증가함. 본 검사는 혈전증의 유전성 위험인자인 protohrombin 유전자 20210 염기의 G->A 돌연변이를 검사함. 이 돌연변이는 혈장내 prothrombin 농도를 증가시켜 thrombosis 위험을 증가시키며, heterozygote 돌연변이인 경우 심부정맥 혈전증, 뇌정맥혈전증, 폐색전증에 걸릴 확률이 각 각 3∼6배 이상 증가함. 흡연, 경구피임약 복용시에는 위험도가 대폭 증가함.",,"Prothrombin, 혈전증, thrombophilia, thrombin",예,시행중
L60,기생충검사,L6003,Protozoa,No parasite(s) seen,,Stool 10 g,이미지,,"영양형(Trophozoite)를 검출해야 하는 경우 검체채취 즉시 검사실로 보내야한다. 설사변, 체액 : 30분 이내 약간 묽은변 : 1시간 이내",월-금,오후1시,당일(오전9시접수시 오후5시보고),Formalin Ether 농축침전법,기생충 감염의 진단,"Protozoa cyst(L60031), Protozoa trophozoite(L60032) 보고 [2003.7.1] 보고양식 변경 Negative -> No parasite(s) seen",,예,시행중
L25,분자유전학,L25465,"Pseudohypoparathyroidism, GNAS gene, sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, Sequencing","1. 유전자: GNAS [GNAS complex locus; 20q13.3; GeneID 2778] 2. 분자진단검사: 상기유전자의 exons 1-13의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Pseudohypoparathyroidism, Pseudopseudohypoparathyroidism, McCune-Albright syndrome 4. 배경, 의의: 가성부갑상선기능저하증은 혈중 칼슘대사를 조절하는 부갑상선호르몬의 작용이 감소되어 발생하는 질환으로 저칼슘혈증, 고인산혈증이 관찰되며 부갑상선호르몬의 분비는 증가됨. 저칼슘혈증으로 인한 테타니, 경련, 손발의 경축, 근육 연축, 근육통, 감각이상, 후두 천명, 복통, 청색증 등이 나타날 수 있고, 두개내 석회화와 뇌압 증가로 두통, 구토가 나타나는 경우도 있음. 본 검사로 질환이 의심되는 환자에서 유전자 검사를 통한 확진이 가능하며, 돌연변이가 발견되는 가족에서 산전 진단도 가능하다.",[2014.3.24] 신규검사등록,,예,시행중
L22,혈액응고,L2203,PT (Prothrombin time),10.6~12.9 sec,sec,Citrate blood 2.7mL,이미지,"vacutainer(Sodium citrate, 현재 2.7 mL 공급)",환자의 Hct 이 55% 이상인 경우: 응고검사실에 연락하여 항응고제농도가 조절된 채혈관을 받아가서 채혈해야 함.,매일,24시간 검사,2시간(본원) / 1시간(암병원),Turbidimetry,"Prothrombin Time (PT)는 extrinsic pathway에 관여하는 응고인자, 즉 factor I(fibrinogen), II(prothrombin), V, VII, X의 기능을 평가하는 screening test이다. 이 검사에는 extrinsic pathway를 활성화시키기 위해 tissue thromboplastin을 인위적으로 첨가하게 되는데 이 때 사용하는 tissue thromboplastin의 순도 등에 따라 결과에 영향을 준다. 따라서 Oral anticoagulant therapy 중의 환자를 monitoring할 때에는 tissue thromboplastin에 따른 차이를 보정해준 INR값을 측정해야 한다. PT 검사는 그다지 예민하지 않기 때문에 PT 결과가 정상이라고 하여도 factor difeciency를 배제할 수는 없다. Isolated PT prolongation (aPTT normal)을 보이는 경우는 주로 oral anticoagulant therapy, liver disease 등에서 관찰할 수 있다.","*항응고제 치료 모니터링 검사 가이드 -Anticoagulation Medication / Monitoring Assay Suggested 1) Warfarin 제제 / PT(INR) 2) Unfractionated heparin / APTT 3) Low molecular weight heparin / Anti-Xa LMWH 4) Direct thrombin inhibitors / APTT, Thrombin time 5) Direct Xa inhibitors / PT(INR), Anti-Xa LMWH",,예,시행중
L25,분자유전학,L25375,"PTEN hamartoma tumor syndrome (PHTS), PTEN sequencing",Negative,,EDTA blood 6 mL,이미지,,"실온 1일/유전자검사 동의서/평일4시, 토요일11시 이전 채혈요망/외부검체는 받지않음",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 유전자: PTEN [phosphatase and tensin homolog; 10q23.3; Gene ID 5728] 2. 분자진단검사: 상기 유전자의 exons 1-9의 5'UTR, coding region과 그 flanking region의 염기서열을 검사함. 3. 관련 질환: PTEN hamartoma tumor syndrome (PHTS) 4. 배경, 의의: PTEN hamartoma tumor syndrome (PHTS)은 종양억제유전자인 PTEN 유전자의 germline mutation에 의해 여러 장기에서 hemartoma를 형성하는 질환임. PHTS는 임상소견에 따라 Cowden syndrome(CS), Bannayan-Riley-Ruvalcaba syndrome (BRRS), Proteus syndrome (PS), Proteus-like syndrome으로 구분할 수 있음. PHTS에 속하는 각각의 질병은 임상소견에 따라 추정 진단이 가능하나, PTEN mutation이 검출되어야 확진이 가능함. PTEN 유전자는 PHTS의 유일한 원인 유전자로 알려져 있으며, 상염색체 우성의 유전 패턴을 보임. PTEN 유전자의 promotor region과 전체 엑손에 대해 염기서열분석과 결실/중복 검사를 실시할 경우 CS 환자의 90%, BRRS 71%, PLS 50%, PS 20%에서 원인 돌연변이를 검출하여 확진이 가능함.",[2011.4.7]신규등록,,예,시행중
L71,외주검사,L73971,PTH related peptide(외주),남 년도별 연령 : 0~999 참고치 : 0~1.1 여 년도별 연령 : 0~999 참고치 : 0~1.1,pmol/l,PTH전용용기,이미지,12. PTH전용용기,냉동 PTH전용용기 사용,"월, 수",검사 시행일 전날 오후 3시,22일,IRMA((Immunoradiometric Assay)핵의학적방법),"악성종양에서 나타나는 고 Ca혈증을 일으키는 야기 인자이며, 종양세포에서 대량으로 생산되므로 혈중에 누출되는 경우에는 endocrine적으로 작용하여 PTH 수용체를 자극하여 그 결과로 고 Ca혈증이 초래된다. ⊙ 고치질환 1. 원발성 부갑상선 기능항진증 2. 속발성 부갑상선 기능항진증 3. 만성 신부전 4. Vitamin D 결손증 ⊙ 저치질환 1. 특발성 부갑상선 기능저하증 2. 수술 후 부갑상선 기능저하증 3. Vitamin D 중독 4. 악성종양의 골전이(고Ca혈증)",[2013.1.7]신규등록,,예,시행중
L52,"호르몬,종양표지자검사",L5214,PTH(intact),15~65pg/mL,pg/mL,Plain tube blood 2 mL,이미지,,"검사 소요시간: 3시간, 첫 보고시간 10:30","월-금16:00,토11:00접수분까지",,당일보고.주의사항참조,ECLIA (electrochemiluminescence immunoassay),"혈액또는 체액의 칼슘이온농도 조절하고 칼시토닌이 여기에 길항작용을 한다. 신장에서는 근위세포관의 인 재흡수억제및 칼슘 증가에 관여,비타민 D의 활성촉진작용에 관여하고 장관에서는 칼슘흡수촉진 원발성,속발성 부갑상선 기능항진증,고칼슘 혈증의 진단",[2009.4.27] 소아진단검사의학과 24시간 신속검사 시행 [2014.2.17] 시약공급에따른 검사잠정중단 L3743 오더발행(본원 특수화학검사실 시행),"Parathyroid hormone, 부갑상선호르몬",예,시행중
L71,외주검사,L7258,Pyruvate(외주),남 년도별 연령 : 0~999 참고치 : 0.5~1.4 여 년도별 연령 : 0~999 참고치 : 0.5~1.4,mg/dl,Pyr전용용기,이미지,3. Pyruvate 전용용기,"냉장 제단백액4.0mL+Whole blood 2.0mL (반드시 전용용기 이용) : 검체를 채혈한 후 즉시 Pyruvate 전용용기(제단백용액)에 전혈을 넣어야하며, 즉시 넣을 수 없을 경우 NaF(Glucose전용용기)에 채혈한 후 제단백용액에 넣어 전도혼합한 후 원심분리하여 상층액을 보내주십시요.","월, 화, 수, 목, 금",검사 시행일 전날 오후 3시,3일,Enzymatic method,"중증 간 장애, 순환 부전, 요독증, Vit. B1 결핍, 심장질환, 당뇨병, 근 위축질환, 악성종양시에 증가한다.",녹십자의뢰 외주검사 (☏.578-0131) [2013.11.21] 참고치변경 기존:0.3-0.7 변경:0.5-1.4,Pyruvate,예,시행중
L71,외주검사,L7386,"Q열(Q fever,질병관리본부)(외주)",질병관리본보 별지보고서 참조,-,Serum 4 ml,이미지,14. Serum-4.0,냉장 [질병관리본부 의뢰서 양식사용],월~금,검사 시행일 전날 오후 3시,20일,IFA,.소 큐열(Q Fever)의 진단및 예방대책. .Q 열은 리케치아의 일종인 Coxiella burnetii 가 병인체임,국립보건원 의뢰검사[2008.10.14 코드신설] >질병관리본부 의뢰,,예,시행중
L72,분당의뢰검사,L3858,Quadruple marker(외주),"단태아의 경우, AFP, β-hCG, uE3, Inhibin A 가 0.5-2.5 MOM 에 존재할 경우 정상으로 간주하며, 각각의 MOM 을 종합하여 Down 증후군, Edward 증후군, 신경관 결손증의 위험도가 1:270, 1:200, 1:750 이하 일 때 Negative, 이상일 때 Positive 로 보고하고 쌍태아의 경우 다른 MOM 기준을 적용하며, Down 증후군, 신경관 결손증의 위험도만을 보고함.",,Serum: 2.0,이미지,SST,냉장,월,매일 15:30,21일후,Paramagnetic particle Chemiluminescent Immunoassay 화학발광면역측정법,"Quadruple marker 는 기존 triple marker 의 AFP, β-hCG, uE3 에 Inhibin A 를 추가한 검사이다. Inhibin A 는 Inhibin 의 일종으로, Inhibin 은 뇌하수체에서 생성되는 FSH 의 분비를 억제하는 heterodimeric protein 이다. 임신중에는 오직 Inhibin-A 만 혈중에 존재하며, corpus luteum 과 placenta 에서 생성된다. 임신 10주경부터 corpus luteum 의 쇠퇴로 인해 점차 농도가 감소하였다가,15-25주 사이에는 비교적 안정된 농도로 존재한다. 이 시기가 지나면 태반이 커짐에 따라 증가하여 다시 농도가 증가하는 bimodal pattern 을 보이게 되며, 만삭 때가 되면 peak에 도달하게 된다. 이전 triple marker 를 이용할 경우 Down syndrome 의 검출율이 65%-70% 였으나, Inhibin A 를 추가한 quadruple marker 는 77-80% 로 상승시킴이 잘 알려져있다. Down syndrome 에 대한 위양성율은 triple marker 와 유사한 5%-7%로 알려져 있으나, 3% 로 감소시켰다는 보고도 있다. 즉, qudaruple marker 는 기존 triple marker 와 같이 Down 증후군, Edward 증후군, 신경관결손증 위험도를 검출하나, Down 증후군에 대해 검출도가 높아지고, 위양성율이 낮은 보다 개선된 검사이다.",,,예,시행중
L71,외주검사,L74877,QuantiFERON-TB[직원신검](외주),TB Ag-Nil <0.35 Mitogen ≥ 0.5 Nil ≤ 8.0,IU/mL,QFT전용용기,이미지,32. Quantiferon-TB,"평일 12시이전채혈, 토요일불가","월,수,목,금",검사 시행일 전날 오후 12시 월-금 12시이전채혈,4,ELISA,"결핵균에서 분리한 항원에 노출되었을 때 결핵균에 감작된 림프구들의 감마 인터페론 (interferon-gamma) 분비능이 높다는 점을 이용하여 결핵균 감염 여부를 검출한다.기존의 PPD(Puritified Protein Derivate)을 이용하는 skin test와는 다르게QuantiFERON-TB-Gold검사는 T세포를 자극하기 위한 결핵 항원으로 ESAT-6와 CFP-10을 사용하므로써, BCG백신에 사용되는 strain이나 NTM(non-tuberculous mycobacteria)에서 제거된 부분을 사용하여 BCG 백신과 NTM에 거의 영향을 받지 않는다. 비교적 검사자에 의한 영향이 적고, 기억 T 림프구의 반응을 이용하지 않기 때문에 booster 효과의 영향을 받지 않는다는 장점을 가진다. 또한, 결핵균에 보다 특이적인 항원을 이용하는 QuantiFERON-TB Gold 검사의 경우, 결핵감염과 비결핵성 마이코박테리아 (nontuberculous mycobacteria; NTM) 및 비씨지 접종효과를 구분하는 데 우수한 것으로 보고되고 있다",SCL코드 35773,TB QFT IGRA,예,시행중
